印	馬番	馬名	人気	オッズ	勝率	EV
	8	ヴォンサクレ NaN33%	12	36.4	0.5%	EV-0.02
	1	ウインブリザード NaN47%	13	43.0	0.4%	EV-0.01
	5	ショウナンパステル NaN47%	16	342.7	0.4%	EV+0.00
	6	マイネルアルゴー NaN27%	14	90.0	0.4%	EV-0.01
	7	マサハヤルージュ NaN17%	11	34.6	0.4%	EV-0.02
	2	ジワタネホ NaN47%	4	8.3	0.0%	EV-0.10
	9	ジージージェット NaN39%	9	17.7	0.0%	EV-0.05
	10	レイヌドプランタン NaN47%	6	10.8	0.0%	EV-0.07
印	馬番	馬名	人気	オッズ	勝率	EV
◎	6	ウルトラハート NaN32%	2	6.2	52.3%	EV+0.39
○	12	パンサーズ NaN47%	5	9.5	22.5%	EV+0.14
▲	7	コイオステソーロ NaN32%	1	2.0	15.1%	EV-0.25
△	2	ホウオウストライク NaN39%	4	8.3	2.5%	EV-0.07
×	10	マイカラー NaN21%	3	7.9	2.1%	EV-0.08
	4	クロームクロス NaN67%	6	10.0	0.8%	EV-0.07
	8	フィオリータ NaN94%	11	47.7	0.8%	EV-0.01
	9	キタノハイテイル NaN68%	9	41.9	0.8%	EV-0.01
	5	キングスペード NaN32%	7	21.3	0.3%	EV-0.03
	3	メイショウイッカク NaN27%	8	39.8	0.2%	EV-0.02
	1	ニシノロッドマン NaN21%	10	44.3	0.0%	EV-0.02
	11	ドリームゴーズオン NaN38%	12	89.6	0.0%	EV-0.01
印	馬番	馬名	人気	オッズ	勝率	EV
◎	3	キャットテイル NaN11%	7	16.1	31.1%	EV+0.26
○	15	グランデスフィーダ	6	9.9	31.1%	EV+0.23
▲	9	ヴィヴァシャス	10	19.6	12.1%	EV+0.08
△	5	ディーエストッキー	11	21.0	6.5%	EV+0.03
×	8	ゼットスパンキー	9	19.2	6.5%	EV+0.02
	2	メイショウサトノヒ	2	6.0	4.3%	EV-0.09
	10	ミライハーモニー	4	7.4	2.8%	EV-0.08
	13	オンサイト NaN27%	12	27.8	2.1%	EV-0.01
	4	ブルージュ	8	17.6	1.2%	EV-0.03
	7	チェルシー	3	6.0	0.4%	EV-0.13
	11	パッションディーバ NaN11%	13	38.2	0.4%	EV-0.02
	12	ダディーズグーグー	5	8.3	0.4%	EV-0.09
	14	リッキースタイル	1	4.8	0.4%	EV-0.16
	1	ナインオブレター	14	51.0	0.2%	EV-0.01
	6	サイモンプレジール	15	131.5	0.0%	EV-0.01
印	馬番	馬名	人気	オッズ	勝率	EV
◎	6	セイプリーズ	3	9.3	45.7%	EV+0.37
○	3	ユメシバイ	2	8.1	14.1%	EV+0.04
▲	5	エコロハート	10	15.9	11.0%	EV+0.06
△	9	セガンティーニ	7	12.2	9.3%	EV+0.03
×	11	フェゲフォイア	16	92.4	4.7%	EV+0.04
	4	フォルトレス NaN13%	13	22.9	1.5%	EV-0.02
	7	スカイブルー	9	13.9	1.4%	EV-0.04
	8	ルージュベルベット	1	3.4	1.4%	EV-0.22
	15	ライングッドマン	4	10.4	1.4%	EV-0.06
	12	アーサーズウェイン	6	12.0	0.5%	EV-0.06
	1	ナムラトロム	14	54.3	0.4%	EV-0.01
	14	スプリングデイ	11	20.0	0.4%	EV-0.04
	2	デボラ	15	77.2	0.0%	EV-0.01
	10	インターポーザー	5	12.0	0.0%	EV-0.07
	13	キタノクニカラ	12	22.6	0.0%	EV-0.04
	16	オメガストリーム NaN19%	8	13.1	0.0%	EV-0.06
印	馬番	馬名	人気	オッズ	勝率	EV
◎	9	マイネルアレス	1	5.4	45.7%	EV+0.31
○	7	ナムラブーニン	9	12.6	24.9%	EV+0.19
▲	13	メイショウビストロ	3	6.8	6.7%	EV-0.05
△	14	オーバースタンド	5	9.0	5.7%	EV-0.03
×	3	テンドリームガール	13	62.3	2.3%	EV+0.01
	2	ケイツークローン	8	10.9	1.6%	EV-0.06
	10	カーメルタザイト NaN16%	4	7.9	1.6%	EV-0.09
	12	サトノラポール	2	6.4	1.6%	EV-0.11
	8	コスモアチーブ	7	10.2	1.2%	EV-0.07
	11	シャインバオバブ	6	9.4	1.2%	EV-0.07
	6	アウローラシエル	11	22.1	0.4%	EV-0.03
	1	レゼールドラペ	14	81.8	0.0%	EV-0.01
	4	サイコウダネ	12	50.2	0.0%	EV-0.02
	5	シアブリス	10	15.4	0.0%	EV-0.05
印	馬番	馬名	人気	オッズ	勝率	EV
◎	7	ビッグドリーム	4	8.4	49.7%	EV+0.40
○	9	シルフズミスチーフ	2	5.4	33.7%	EV+0.19
▲	14	ピコテンダー	3	7.0	10.3%	EV-0.01
△	2	アイアムイチバン	5	8.8	2.1%	EV-0.07
	3	セレジェイラ	1	3.6	2.1%	EV-0.20
×	11	テセラリアン	11	24.8	0.8%	EV-0.02
	15	キングクー	14	28.5	0.4%	EV-0.02
	5	ゲーベル	8	24.0	0.3%	EV-0.03
	13	レイアポポ	13	26.4	0.3%	EV-0.03
	10	セルヴァンス	6	15.3	0.2%	EV-0.05
	12	ミスエル	7	21.3	0.2%	EV-0.04
	1	ダズリングダンス	12	25.8	0.0%	EV-0.03
	4	バンディート	10	24.4	0.0%	EV-0.03
	6	シュバルツガイスト	9	24.3	0.0%	EV-0.03
	8	ロッカバイベイビー	15	31.5	0.0%	EV-0.03
印	馬番	馬名	人気	オッズ	勝率	EV
◎	14	アメリカンステージ NaN11%	1	5.1	38.1%	EV+0.22
○	6	モズナナスター	8	12.1	33.3%	EV+0.27
▲	5	テイエムスパーダ	4	9.0	11.0%	EV+0.02
△	10	バグラダス	9	22.0	1.2%	EV-0.02
	12	デュガ	2	5.8	1.2%	EV-0.13
	15	ナスノカンゲツ	5	9.1	1.2%	EV-0.08
	13	シークレットヴァウ	12	29.8	0.5%	EV-0.02
×	4	ディヴィナシオン	15	36.6	0.4%	EV-0.02
	1	ベイビーキッス	13	32.9	0.0%	EV-0.02
	2	オーブルクール	14	33.3	0.0%	EV-0.02
	3	テイエムリステット	10	28.5	0.0%	EV-0.03
	7	クムシラコ	11	28.5	0.0%	EV-0.03
	8	シュラフ	6	10.6	0.0%	EV-0.08
	9	エコロレジーナ	3	6.6	0.0%	EV-0.12
	11	タツダイヤモンド	16	66.9	0.0%	EV-0.01
	16	ハートホイップ	7	11.2	0.0%	EV-0.07
印	馬番	馬名	人気	オッズ	勝率	EV
◎	1	マテンロウノカゼ	6	8.7	64.7%	EV+0.56
○	3	メイショウクモイ	3	6.0	6.5%	EV-0.07
▲	5	マテンロウミラクル	12	35.3	2.8%	EV+0.01
	2	カレンラップスター	5	8.5	0.9%	EV-0.08
	10	ローズマイスター	1	5.6	0.9%	EV-0.13
	12	ニシノケンタマン	7	10.2	0.4%	EV-0.07
	6	コスモシェルベット	10	24.3	0.3%	EV-0.03
△	9	ヤマカツレオン	14	53.7	0.3%	EV-0.01
	4	ブルージャイアント NaN11%	8	12.1	0.0%	EV-0.07
	7	プルメリアクヒオ	9	21.9	0.0%	EV-0.04
×	8	イエローブリック	15	55.5	0.0%	EV-0.01
	11	タルタロス	11	28.6	0.0%	EV-0.03
	13	アバレリュウ NaN16%	4	8.4	0.0%	EV-0.10
	14	チビノシエラザード	13	53.4	0.0%	EV-0.01
	15	ジーヴル NaN12%	2	5.8	0.0%	EV-0.14
印	馬番	馬名	人気	オッズ	勝率	EV
◎	2	ミエスタ NaN39%	2	3.2	58.2%	EV+0.33
○	3	ハングローズ NaN21%	5	8.0	7.8%	EV-0.02
▲	4	ヨルヴィック NaN39%	3	5.9	7.8%	EV-0.06
△	10	ハンナパール NaN39%	4	6.6	3.3%	EV-0.09
×	1	タカラエイティ NaN67%	11	211.8	2.8%	EV+0.02
	14	プロスペラスナイン NaN94%	13	372.9	2.8%	EV+0.03
	16	カシスピーチ NaN67%	15	527.5	2.8%	EV+0.03
	7	ルージュリヴィエラ NaN39%	8	36.1	2.1%	EV-0.00
	15	ルンベーラ NaN16%	7	22.9	0.3%	EV-0.03
	6	エリースノー NaN39%	9	134.3	0.2%	EV-0.00
	5	ラブカニュー NaN47%	12	221.7	0.0%	EV-0.00
	8	キタノローズ	10	157.3	0.0%	EV-0.01
	9	スウィートラキ NaN39%	16	605.6	0.0%	EV-0.00
	11	ベッラモレーン NaN39%	6	17.2	0.0%	EV-0.05
	12	ライヴマティーニ NaN39%	14	405.9	0.0%	EV-0.00
	13	オテンバプリンセス NaN45%	1	2.9	0.0%	EV-0.28
印	馬番	馬名	人気	オッズ	勝率	EV
◎	11	トルネードアイル NaN16%	1	2.2	58.2%	EV+0.22
○	7	スティールヴォーグ NaN32%	2	2.9	19.4%	EV-0.08
▲	1	ファイアリービート NaN40%	5	12.8	1.6%	EV-0.05
△	5	ニシノアオニヨシ NaN67%	14	331.9	0.9%	EV+0.01
×	9	コパノエイダン NaN21%	6	15.1	0.9%	EV-0.04
	13	ハデステソーロ NaN47%	3	10.6	0.9%	EV-0.07
	15	ダゴベルト NaN67%	11	106.7	0.9%	EV+0.00
	14	サクセスブルー NaN39%	9	62.9	0.4%	EV-0.01
	2	ナンヨーロイヤル NaN26%	15	482.4	0.2%	EV+0.00
	3	タッカーヴァンバン NaN32%	4	12.0	0.2%	EV-0.06
	4	ハピナスター NaN48%	13	307.9	0.0%	EV-0.00
	6	キングスメッセージ NaN39%	16	582.4	0.0%	EV-0.00
	8	アームアンフルール NaN47%	10	71.0	0.0%	EV-0.01
	10	ノリキング NaN48%	12	119.8	0.0%	EV-0.01
	12	イニシオ NaN47%	7	20.3	0.0%	EV-0.04
	16	キタノドンカルロ NaN11%	8	32.3	0.0%	EV-0.02
印	馬番	馬名	人気	オッズ	勝率	EV
◎	5	アドミ NaN16%	5	11.4	58.2%	EV+0.51
○	8	アイムインディ NaN39%	1	3.1	23.3%	EV-0.03
▲	2	ツクバヴァンガード NaN28%	2	3.6	13.5%	EV-0.09
△	1	ルクソンライト NaN67%	7	30.7	0.3%	EV-0.02
×	10	ピコランド NaN67%	3	3.6	0.3%	EV-0.22
	11	ペイシャクロス NaN67%	12	287.7	0.3%	EV+0.00
	13	ユーベルジーク NaN67%	10	124.8	0.3%	EV-0.00
	3	ソーマッチ NaN38%	14	498.5	0.0%	EV-0.00
	4	ヴェントディルーナ NaN39%	15	523.6	0.0%	EV-0.00
	6	ピコレーヴ NaN48%	9	90.7	0.0%	EV-0.01
	7	ディサイドオンミー NaN33%	8	53.3	0.0%	EV-0.02
	9	トレンドマーチ NaN39%	11	198.3	0.0%	EV-0.00
	12	セキテイロックス NaN48%	4	6.7	0.0%	EV-0.12
	14	プレヒティヒ NaN27%	13	389.3	0.0%	EV-0.00
	15	テンカラットレター NaN48%	16	795.4	0.0%	EV-0.00
	16	ホウオウチャールズ NaN38%	6	14.9	0.0%	EV-0.05
印	馬番	馬名	人気	オッズ	勝率	EV
◎	4	サトノスターライト NaN39%	3	4.4	21.2%	EV+0.03
○	16	ダノンアスコルティ NaN47%	2	3.9	14.2%	EV-0.06
▲	8	ベアサナエチャン	4	6.3	12.1%	EV-0.01
△	1	ウインテラジーナ NaN94%	8	26.0	8.2%	EV+0.05
×	2	クイーンズパーク NaN94%	13	259.7	8.2%	EV+0.08
	3	リリーサー NaN94%	7	16.1	8.2%	EV+0.03
	5	ルージュラベル NaN67%	6	14.9	8.2%	EV+0.03
	12	ロジタイガー NaN94%	15	311.7	8.2%	EV+0.08
	15	ソレム NaN94%	12	119.2	8.2%	EV+0.08
	14	クレアノア NaN39%	1	3.4	1.5%	EV-0.22
	11	ダイヤテソーロ	5	14.1	1.2%	EV-0.04
	17	ペルシアーノ NaN39%	9	35.2	1.2%	EV-0.01
	6	ノアシルヴィ NaN32%	16	438.0	0.0%	EV-0.00
	7	ジェムシリカ NaN18%	11	86.6	0.0%	EV-0.01
	9	ヘリオドール	18	497.6	0.0%	EV-0.00
	10	フーディエラン NaN27%	10	49.0	0.0%	EV-0.02
